"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 16:00:18 GMT 2024","Sun Apr 21 16:00:19 GMT 2024","1029","","","","GetTest","CheckSuccessfulResponse_WhenGetProjects","CheckSuccessfulResponse_WhenGetProjects","Проверка успешного ответа от сервера при запросе страницы с проектами
"
"passed","Sun Apr 21 16:00:13 GMT 2024","Sun Apr 21 16:00:18 GMT 2024","4978","","","","FileUploadTest","TestFileUpload","TestFileUpload","Проверка на загрузку файла
"
"passed","Sun Apr 21 16:00:18 GMT 2024","Sun Apr 21 16:00:20 GMT 2024","1912","","","","GetTest","CheckSuccessfulResponse_WhenGetUnknownProjectId","CheckSuccessfulResponse_WhenGetUnknownProjectId","Unknown or deleted objects in API requests
"
"passed","Sun Apr 21 16:00:20 GMT 2024","Sun Apr 21 16:00:23 GMT 2024","2866","","","","LoginTest","LoginWithStandardUser","LoginWithStandardUser","Проверка перехода на главную страницу после логина с корректными данными
"
"passed","Sun Apr 21 16:00:18 GMT 2024","Sun Apr 21 16:00:18 GMT 2024","351","","","","GetTest","CheckSuccessfulResponse_WhenGetProjectRuns","CheckSuccessfulResponse_WhenGetProjectRuns","Проверка успешного ответа от сервера при запросе всех запусков автоматизации в целевом проекте
"
"passed","Sun Apr 21 16:00:13 GMT 2024","Sun Apr 21 16:00:22 GMT 2024","9868","","","","DeleteProjectTest","TestDeleteProject","TestDeleteProject","Проверка успешного удаления созданного проекта
"
"passed","Sun Apr 21 16:00:18 GMT 2024","Sun Apr 21 16:00:18 GMT 2024","286","","","","GetTest","CheckSuccessfulResponse_WhenGetInvalidToken","CheckSuccessfulResponse_WhenGetInvalidToken","Invalid or missing Testmo API token
"
"passed","Sun Apr 21 16:00:19 GMT 2024","Sun Apr 21 16:00:22 GMT 2024","2481","","","","LoginTest","LoginWithErrorUsername","LoginWithErrorUsername","Проверка отображения ошибки These credentials do not match our records or the user account is not allowed to log in. ïîñëå ëîãèíà ñ íåêîððåêòíûì email
"
"passed","Sun Apr 21 16:00:22 GMT 2024","Sun Apr 21 16:00:25 GMT 2024","3467","","","","ValuesTest","ExceedingPermissibleValuesTest","ExceedingPermissibleValuesTest","Проверка на граничные значения
"
"passed","Sun Apr 21 16:00:13 GMT 2024","Sun Apr 21 16:00:18 GMT 2024","5025","","","","DialogWindowTest","TestDialogWindow","TestDialogWindow","Проверка отображения диалогового окна
"
"passed","Sun Apr 21 16:00:13 GMT 2024","Sun Apr 21 16:00:22 GMT 2024","9011","","","","AddProjectTest","TestAddProject","TestAddProject","Проверка успешного создания проекта
"
"passed","Sun Apr 21 16:00:19 GMT 2024","Sun Apr 21 16:00:19 GMT 2024","320","","","","GetTest","CheckSuccessfulResponse_WhenGetUser","CheckSuccessfulResponse_WhenGetUser","Проверка успешного ответа от сервера при запросе пользователя
"
"failed","Sun Apr 21 16:00:22 GMT 2024","Sun Apr 21 16:00:25 GMT 2024","3082","","","","HoverTest","HoverTests","HoverTests","Проверка на скриншот
"
