"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 09:12:32 GMT 2024","Mon Apr 22 09:12:32 GMT 2024","705","","","","GetTest","CheckSuccessfulResponse_WhenGetUnknownProjectId","CheckSuccessfulResponse_WhenGetUnknownProjectId","Unknown or deleted objects in API requests
"
"passed","Mon Apr 22 09:12:31 GMT 2024","Mon Apr 22 09:12:32 GMT 2024","862","","","","GetTest","CheckSuccessfulResponse_WhenGetProjectRuns","CheckSuccessfulResponse_WhenGetProjectRuns","Проверка успешного ответа от сервера при запросе всех запусков автоматизации в целевом проекте
"
"passed","Mon Apr 22 09:12:31 GMT 2024","Mon Apr 22 09:12:31 GMT 2024","87","","","","GetTest","CheckSuccessfulResponse_WhenGetInvalidToken","CheckSuccessfulResponse_WhenGetInvalidToken","Invalid or missing Testmo API token
"
"passed","Mon Apr 22 09:12:17 GMT 2024","Mon Apr 22 09:12:31 GMT 2024","14110","","","","FileUploadTest","TestFileUpload","TestFileUpload","Проверка на загрузку файла
"
"passed","Mon Apr 22 09:12:31 GMT 2024","Mon Apr 22 09:12:31 GMT 2024","208","","","","PostTest","CheckSuccessfulResponse_WhenPostRuns","CheckSuccessfulResponse_WhenPostRuns","Проверка успешного запуска автоматизации в целевом проекте
"
"passed","Mon Apr 22 09:12:32 GMT 2024","Mon Apr 22 09:12:35 GMT 2024","2656","","","","ValuesTest","ExceedingPermissibleValuesTest","ExceedingPermissibleValuesTest","Проверка на граничные значения
"
"passed","Mon Apr 22 09:12:29 GMT 2024","Mon Apr 22 09:12:31 GMT 2024","2176","","","","LoginTest","LoginWithStandardUser","LoginWithStandardUser","Проверка перехода на главную страницу после логина с корректными данными
"
"passed","Mon Apr 22 09:12:32 GMT 2024","Mon Apr 22 09:12:39 GMT 2024","7011","","","","DeleteProjectTest","TestDeleteProject","TestDeleteProject","Проверка успешного удаления созданного проекта
"
"passed","Mon Apr 22 09:12:31 GMT 2024","Mon Apr 22 09:12:32 GMT 2024","101","","","","GetTest","CheckSuccessfulResponse_WhenGetProjects","CheckSuccessfulResponse_WhenGetProjects","Проверка успешного ответа от сервера при запросе страницы с проектами
"
"passed","Mon Apr 22 09:12:31 GMT 2024","Mon Apr 22 09:12:31 GMT 2024","192","","","","PostTest","CheckSuccessfulResponse_WhenPostRunsComplete","CheckSuccessfulResponse_WhenPostRunsComplete","Проверка успешного завершения запуска автоматизации в целевом проекте
"
"passed","Mon Apr 22 09:12:32 GMT 2024","Mon Apr 22 09:12:32 GMT 2024","64","","","","GetTest","CheckSuccessfulResponse_WhenGetUser","CheckSuccessfulResponse_WhenGetUser","Проверка успешного ответа от сервера при запросе пользователя
"
"passed","Mon Apr 22 09:12:17 GMT 2024","Mon Apr 22 09:12:30 GMT 2024","13846","","","","DialogWindowTest","TestDialogWindow","TestDialogWindow","Проверка отображения диалогового окна
"
"passed","Mon Apr 22 09:12:17 GMT 2024","Mon Apr 22 09:12:29 GMT 2024","12602","","","","LoginTest","LoginWithErrorUsername","LoginWithErrorUsername","Проверка отображения ошибки These credentials do not match our records or the user account is not allowed to log in. ïîñëå ëîãèíà ñ íåêîððåêòíûì email
"
"failed","Mon Apr 22 09:12:31 GMT 2024","Mon Apr 22 09:12:33 GMT 2024","2370","","","","HoverTest","HoverTests","HoverTests","Проверка на скриншот
"
"passed","Mon Apr 22 09:12:17 GMT 2024","Mon Apr 22 09:12:34 GMT 2024","17811","","","","AddProjectTest","TestAddProject","TestAddProject","Проверка успешного создания проекта
"
